,Dist,Year,Yield,Rain,N_TC,P_TC,K_TC,NPK_TC
0,901.0,1983.0,0.6666666666666667,1155.0,660666.6666666667,192533.33333333334,115133.33333333334,968333.3333333334
1,901.0,1986.0,0.5,1754.0,118883.33333333334,28283.333333333336,11891.666666666668,159058.33333333334
2,902.0,1981.0,0.857142857142857,1719.0,185542.85714285713,35685.71428571428,21571.42857142857,242799.99999999997
3,902.0,1995.0,1.0,1070.2,-32676.0,-7245.0,-2214.0,-42135.0
4,902.0,1996.0,1.0,1267.6,-42934.0,-10731.0,-3065.0,-56730.0
5,902.0,1997.0,1.0,1323.5,-49197.0,-9168.0,-2695.0,-61060.0
6,902.0,1998.0,1.0,1111.4,-67864.0,-14580.0,-5001.0,-87445.0
7,902.0,1999.0,1.0,1260.7,-74800.0,-20500.0,-7000.0,-102300.0
8,902.0,2000.0,1.0,1120.1,-69302.0,-16147.0,-6007.0,-91456.0
9,902.0,2001.0,1.0,1284.0,-59973.0,-15925.0,-7374.0,-83272.0
10,902.0,2002.0,1.0,1118.0,-59973.0,-15925.0,-7374.0,-83272.0
11,902.0,2003.0,1.0,1051.1,-59068.0,-3815.0,-2335.0,-65218.0
12,902.0,2005.0,1.0,1008.0,-77576.0,-13768.0,-11776.0,-103120.0
13,902.0,2006.0,1.0,1232.1,-90035.0,-17351.0,-8708.0,-116094.0
14,902.0,2007.0,1.0,2624.8,-61207.0,-14315.0,-5294.0,-80816.0
15,902.0,2008.0,1.0,1830.3,-108442.0,-34574.0,-19961.0,-162977.0
16,902.0,2009.0,1.0,981.1,-110727.0,-32206.0,-23102.0,-166035.0
17,903.0,1981.0,0.0,1274.0,851000.0,225400.0,138800.0,1215200.0
18,903.0,1995.0,1.0,1020.4,-29633.0,-7557.0,-1659.0,-38849.0
19,903.0,1996.0,1.0,923.5,-32636.0,-11132.0,-3737.0,-47505.0
20,903.0,1997.0,1.0,1356.2,-37344.0,-9490.0,-3984.0,-50818.0
21,903.0,1998.0,1.0,1202.3,-57137.0,-15918.0,-5691.0,-78746.0
22,903.0,1999.0,1.0,1114.4,-46200.0,-15500.0,-4300.0,-66000.0
23,903.0,2000.0,1.0,687.2,-56166.0,-18971.0,-4401.0,-79538.0
24,903.0,2001.0,1.0,922.9,-51993.0,-16559.0,-5508.0,-74060.0
25,903.0,2002.0,1.0,683.0,-51993.0,-16559.0,-5508.0,-74060.0
26,903.0,2003.0,1.0,822.4,-51963.0,-6042.0,-3611.0,-61616.0
