,Dist,Year,Yield,Rain,N_TC,P_TC,K_TC,NPK_TC
0,901.0,1969.0,0.5,1563.0,90350.0,51283.333333333336,23066.666666666668,164700.0
1,901.0,1979.0,0.6781609195402298,1248.0,13149.425287356322,2488.5057471264367,1289.655172413793,16927.58620689655
2,901.0,1990.0,1.0,1102.0,1.0,1.0,1.0,1.0
3,901.0,1991.0,1.0,994.0,1.0,1.0,1.0,1.0
4,901.0,1992.0,1.0,881.0,-42308.0,-9388.0,-2337.0,-54033.0
5,901.0,1993.0,1.0,1255.0,-54090.0,-6613.0,-1547.0,-62250.0
6,902.0,1990.0,1.0,948.0,1.0,1.0,1.0,1.0
7,902.0,1991.0,1.0,897.0,1.0,1.0,1.0,1.0
8,902.0,1992.0,1.0,650.0,-45469.0,-7523.0,-1221.0,-54213.0
9,902.0,1993.0,1.0,1266.0,-34848.0,-7921.0,-1240.0,-44009.0
10,902.0,1994.0,1.0,839.9,-32676.0,-7245.0,-2214.0,-42135.0
11,902.0,1995.0,1.0,1070.2,-32676.0,-7245.0,-2214.0,-42135.0
12,902.0,1996.0,1.25,1267.6,1073350.0,268275.0,76625.0,1418250.0
13,902.0,1997.0,1.25,1323.5,1229925.0,229200.0,67375.0,1526500.0
14,902.0,1998.0,1.25,1111.4,1696600.0,364500.0,125025.0,2186125.0
15,902.0,1999.0,1.2,1260.7,1496000.0,410000.0,140000.0,2046000.0
16,902.0,2000.0,1.5714285714285714,1120.1,990028.5714285714,230671.42857142855,85814.28571428571,1306514.2857142857
17,902.0,2001.0,1.1666666666666667,1284.0,999550.0,265416.6666666667,122900.0,1387866.6666666667
18,902.0,2002.0,1.25,1118.0,1499325.0,398125.0,184350.0,2081800.0
19,902.0,2003.0,2.0,1051.1,5906800.0,381500.0,233500.0,6521800.0
20,902.0,2004.0,2.0,1223.9,6742500.0,584400.0,647000.0,7973900.0
21,902.0,2005.0,1.6666666666666667,1008.0,2585866.666666667,458933.3333333334,392533.3333333334,3437333.3333333335
22,902.0,2006.0,1.6666666666666667,1232.1,3001166.666666667,578366.6666666667,290266.6666666667,3869800.0
23,902.0,2007.0,1.6666666666666667,2624.8,2040233.3333333335,477166.6666666667,176466.6666666667,2693866.666666667
24,902.0,2008.0,1.0,1830.3,5422100.0,1728700.0,998050.0,8148850.0
25,902.0,2009.0,1.0,981.1,-110727.0,-32206.0,-23102.0,-166035.0
26,903.0,1966.0,0.2857142857142857,965.0,16185.714285714284,2957.142857142857,1742.8571428571427,20885.714285714283
27,903.0,1973.0,0.33928571428571425,1493.0,8487.5,2669.642857142857,924.9999999999999,12082.142857142857
28,903.0,1980.0,0.5,1184.0,422700.0,124100.0,56900.0,603700.0
29,903.0,1990.0,1.0,1196.0,1.0,1.0,1.0,1.0
30,903.0,1991.0,1.0,855.0,1.0,1.0,1.0,1.0
31,903.0,1992.0,1.0,670.0,-28157.0,-8501.0,-1676.0,-38334.0
32,903.0,1993.0,1.0,1112.0,-26005.0,-5482.0,-1214.0,-32701.0
33,903.0,1994.0,1.0,845.0,-29633.0,-7557.0,-1659.0,-38849.0
34,903.0,1995.0,1.0,1020.4,-29633.0,-7557.0,-1659.0,-38849.0
35,903.0,1996.0,0.857142857142857,923.5,466228.57142857136,159028.57142857142,53385.71428571428,678642.857142857
36,903.0,1997.0,0.638888888888889,1356.2,103733.33333333334,26361.111111111113,11066.666666666668,141161.11111111112
37,903.0,1998.0,0.638888888888889,1202.3,158713.8888888889,44216.66666666667,15808.333333333334,218738.8888888889
38,903.0,1999.0,0.72,1114.4,184800.0,62000.0,17200.0,264000.0
39,903.0,2000.0,0.6666666666666667,687.2,936100.0,316183.3333333334,73350.0,1325633.3333333335
40,903.0,2001.0,1.1111111111111112,922.9,288850.0,91994.44444444445,30600.0,411444.44444444444
41,903.0,2002.0,1.2,683.0,519930.0,165590.0,55080.0,740600.0
42,903.0,2003.0,1.3076923076923077,822.4,399715.3846153846,46476.92307692308,27776.923076923074,473969.23076923075
43,903.0,2004.0,1.4651162790697674,1072.1,63563.95348837209,11726.744186046511,6472.093023255814,81762.79069767443
44,903.0,2005.0,1.3636363636363635,575.7,552627.2727272727,108745.45454545454,88300.0,749672.7272727273
45,903.0,2006.0,1.4000000000000001,948.4,1222080.0,301480.0,148140.0,1671700.0
46,903.0,2007.0,1.4166666666666667,1693.0,515850.0,139958.33333333334,55441.66666666667,711250.0
47,903.0,2008.0,1.5,947.7,1186350.0,401750.0,225250.0,1813350.0
48,903.0,2009.0,1.0,844.4,-69975.0,-22047.0,-16308.0,-108330.0
49,904.0,1966.0,0.33333333333333337,1044.0,5000.0,2850.0,1500.0,9350.0
50,904.0,1973.0,0.4444444444444444,1364.0,7114.814814814815,2470.37037037037,2144.4444444444443,11729.62962962963
51,904.0,1980.0,0.5,1559.0,131350.0,43800.0,32800.0,207950.0
52,904.0,1990.0,1.0,1252.0,1.0,1.0,1.0,1.0
53,904.0,1991.0,1.0,1091.0,1.0,1.0,1.0,1.0
54,904.0,1992.0,1.0,1037.0,-22658.0,-5321.0,-924.0,-28903.0
55,904.0,1993.0,1.0,1320.0,-23196.0,-1804.0,-409.0,-25409.0
56,904.0,1994.0,1.0,790.8,-35916.0,-4886.0,-1345.0,-42147.0
57,904.0,1995.0,1.0,1140.6,-35916.0,-4886.0,-1345.0,-42147.0
58,904.0,1996.0,0.8536585365853658,809.7,56087.80487804878,11070.731707317074,5443.90243902439,72602.43902439025
59,904.0,1997.0,0.8631284916201116,968.8,3671.787709497207,539.3854748603352,396.2290502793296,4607.402234636871
60,904.0,1998.0,0.8631284916201116,1453.5,2879.0502793296087,647.0670391061452,415.22346368715085,3941.340782122905
61,904.0,1999.0,1.0466666666666666,1481.1,6244.444444444444,1733.3333333333333,533.3333333333334,8511.111111111111
62,904.0,2000.0,1.7595628415300546,1096.3,16785.792349726777,4540.437158469945,1919.1256830601092,23245.35519125683
63,904.0,2001.0,1.2166064981949458,1168.4,8663.89891696751,2828.8808664259927,1276.173285198556,12768.953068592058
64,904.0,2002.0,1.2754237288135593,792.2,10169.06779661017,3320.3389830508477,1497.8813559322034,14987.28813559322
65,904.0,2003.0,1.2390891840607212,982.8,5425.6166982922205,481.02466793168884,519.5445920303606,6426.18595825427
66,904.0,2004.0,1.4676258992805755,1579.9,5447.482014388489,927.5779376498801,646.5227817745804,7021.58273381295
67,904.0,2005.0,1.4285714285714286,843.2,42085.71428571428,8635.714285714284,11317.857142857141,62039.28571428571
68,904.0,2006.0,1.2534246575342467,973.4,4799.315068493151,1351.9178082191781,816.7123287671233,6967.945205479452
69,904.0,2007.0,1.2636986301369864,1346.1,4569.86301369863,1027.3972602739727,846.5753424657535,6443.835616438357
70,904.0,2008.0,1.413913043478261,1061.5,6009.391304347826,1696.695652173913,1765.7391304347825,9471.826086956522
71,904.0,2009.0,1.0,931.4,-39273.0,-10605.0,-9963.0,-59841.0
72,905.0,1966.0,0.33333333333333337,1031.0,16466.666666666668,7600.0,2933.3333333333335,27000.0
73,905.0,1973.0,0.5454545454545454,2059.0,5915.909090909091,1718.1818181818182,1040.909090909091,8675.0
74,905.0,1980.0,0.5,2050.0,268150.0,66750.0,41300.0,376200.0
75,905.0,1990.0,1.0,1764.0,1.0,1.0,1.0,1.0
76,905.0,1991.0,1.0,1605.0,1.0,1.0,1.0,1.0
77,905.0,1992.0,1.0,1001.0,-35826.0,-7328.0,-3829.0,-46983.0
78,905.0,1993.0,1.0,1530.0,-40591.0,-3747.0,-2583.0,-46921.0
79,905.0,1994.0,1.0,1049.7,-59565.0,-7460.0,-6126.0,-73151.0
80,905.0,1995.0,1.0,1697.1,-59565.0,-7460.0,-6126.0,-73151.0
81,905.0,1996.0,3.071428571428571,1389.7,157582.14285714284,37175.0,37492.85714285714,232249.99999999997
82,905.0,1997.0,0.5329768270944741,1737.4,8998.752228163992,1577.361853832442,2341.176470588235,12917.290552584669
83,905.0,1998.0,0.5329768270944741,2195.1,7386.096256684492,2260.96256684492,1288.235294117647,10935.294117647058
84,905.0,1999.0,0.7092866756393001,2109.7,6325.706594885599,2328.3983849259757,551.8169582772543,9205.92193808883
85,905.0,2000.0,1.5490566037735851,1699.9,9889.433962264151,3029.433962264151,1063.0188679245284,13981.886792452831
86,905.0,2001.0,1.2068345323741008,1576.2,9203.237410071943,1855.5755395683454,1561.8705035971225,12620.68345323741
87,905.0,2002.0,1.34315424610052,941.0,8868.284228769498,1788.041594454073,1505.0259965337957,12161.351819757367
88,905.0,2003.0,1.4835479256080113,1654.0,7763.805436337625,1029.8998569384835,645.3505007153076,9439.055793991416
89,905.0,2004.0,1.3721264367816093,1955.7,7716.666666666667,1265.66091954023,924.5689655172414,9906.896551724138
90,905.0,2005.0,1.3599656357388314,1892.2,6083.676975945017,1799.0549828178694,1947.164948453608,9829.896907216495
91,905.0,2006.0,1.4018311291963377,1440.0,8040.386571719227,2302.7466937945064,1681.383519837233,12024.516785350967
92,905.0,2007.0,1.421822272215973,1895.3,9483.127109111361,1972.4409448818897,1176.0404949381327,12631.608548931383
93,905.0,2008.0,1.4063205417607225,2042.2,10959.932279909708,2969.187358916479,3300.225733634312,17229.3453724605
94,905.0,2009.0,1.0,1770.4,-93019.0,-24390.0,-29136.0,-146545.0
95,906.0,1966.0,0.375,823.0,17643.75,4587.5,2318.75,24550.0
96,906.0,1973.0,0.48275862068965525,1602.0,14322.41379310345,3712.068965517242,2324.137931034483,20358.620689655174
97,906.0,1990.0,1.0,1057.0,1.0,1.0,1.0,1.0
98,906.0,1991.0,1.0,873.0,1.0,1.0,1.0,1.0
99,906.0,1992.0,1.0,422.0,-36790.0,-11364.0,-1685.0,-49839.0
100,906.0,1993.0,1.0,1005.0,-21642.0,-4833.0,-1558.0,-28033.0
101,906.0,1994.0,1.0,998.2,-38089.0,-8568.0,-2454.0,-49111.0
102,906.0,1995.0,1.0,988.1,-38089.0,-8568.0,-2454.0,-49111.0
103,906.0,1997.0,0.7999999999999999,1332.4,818220.0,148040.0,52000.0,1018260.0
104,906.0,1998.0,0.7999999999999999,978.2,964280.0,242760.0,78780.0,1285820.0
105,906.0,1999.0,1.0,776.0,1142500.0,392500.0,107500.0,1642500.0
106,906.0,2000.0,1.5,816.5,855175.0,249350.0,56900.0,1161425.0
107,906.0,2001.0,2.0,1147.8,3385600.0,589200.0,148400.0,4123200.0
108,906.0,2002.0,1.0,953.8,846400.0,147300.0,37100.0,1030800.0
109,906.0,2003.0,1.5,1082.0,1440600.0,93150.0,56300.0,1590050.0
110,906.0,2004.0,1.25,522.1,854600.0,69350.0,26800.0,950750.0
111,906.0,2005.0,2.0,202.8,4075100.0,565200.0,233000.0,4873300.0
112,906.0,2007.0,1.25,1111.6,1904500.0,417050.0,106850.0,2428400.0
113,906.0,2008.0,2.0,762.8,2102533.3333333335,675933.3333333334,298333.3333333334,3076800.0
114,906.0,2009.0,1.0,218.4,-60846.0,-18939.0,-8469.0,-88254.0
115,907.0,1966.0,0.33333333333333337,568.0,172566.6666666667,14400.0,9366.666666666668,196333.33333333334
116,907.0,1990.0,1.0,1023.0,1.0,1.0,1.0,1.0
117,907.0,1991.0,1.0,739.0,1.0,1.0,1.0,1.0
118,907.0,1992.0,1.0,570.0,-46102.0,-4621.0,-999.0,-51722.0
119,907.0,1993.0,1.0,880.0,-52799.0,-11341.0,-1329.0,-65469.0
